Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,9400.0,9425.0,9350.0,9425.0,9166.9833984375,30545200
2024-01-03,9425.0,9425.0,9325.0,9350.0,9094.0361328125,34603300
2024-01-04,9400.0,9475.0,9375.0,9475.0,9215.6142578125,56501800
2024-01-05,9500.0,9600.0,9475.0,9575.0,9312.876953125,85290100
2024-01-08,9600.0,9625.0,9475.0,9575.0,9312.876953125,50896000
2024-01-09,9600.0,9625.0,9575.0,9625.0,9361.5087890625,59848600
2024-01-10,9650.0,9650.0,9550.0,9550.0,9288.5615234375,52774900
2024-01-11,9625.0,9650.0,9575.0,9575.0,9312.876953125,39381500
2024-01-12,9650.0,9700.0,9600.0,9700.0,9434.4541015625,68253400
2024-01-15,9750.0,9750.0,9650.0,9725.0,9458.7705078125,88399500
2024-01-16,9700.0,9750.0,9675.0,9700.0,9434.4541015625,44869200
2024-01-17,9750.0,9750.0,9650.0,9750.0,9483.0859375,107706100
2024-01-18,9675.0,9750.0,9625.0,9675.0,9410.1396484375,71048900
2024-01-19,9775.0,9775.0,9600.0,9625.0,9361.5087890625,63176500
2024-01-22,9600.0,9650.0,9525.0,9625.0,9361.5087890625,52868300
2024-01-23,9450.0,9600.0,9450.0,9600.0,9337.1923828125,92348600
2024-01-24,9600.0,9600.0,9475.0,9525.0,9264.24609375,84906000
2024-01-25,9450.0,9575.0,9450.0,9500.0,9239.9296875,63212700
2024-01-26,9400.0,9450.0,9300.0,9350.0,9094.0361328125,78977300
2024-01-29,9400.0,9550.0,9375.0,9550.0,9288.5615234375,73452800
2024-01-30,9500.0,9650.0,9475.0,9650.0,9385.82421875,73136400
2024-01-31,9700.0,9700.0,9550.0,9550.0,9288.5615234375,102581200
2024-02-01,9650.0,9725.0,9575.0,9700.0,9434.4541015625,104208700
2024-02-02,9775.0,9800.0,9625.0,9700.0,9434.4541015625,99324000
2024-02-05,9675.0,9675.0,9525.0,9575.0,9312.876953125,57983300
2024-02-06,9750.0,9750.0,9625.0,9625.0,9361.5087890625,87651000
2024-02-07,9700.0,9725.0,9650.0,9700.0,9434.4541015625,92953500
2024-02-12,9750.0,9800.0,9700.0,9800.0,9531.716796875,87949400
2024-02-13,9750.0,9800.0,9700.0,9725.0,9458.7705078125,66072400
2024-02-15,9950.0,9975.0,9850.0,9850.0,9580.3486328125,164748900
2024-02-16,9975.0,10000.0,9875.0,9950.0,9677.611328125,142277200
2024-02-19,9900.0,9975.0,9825.0,9875.0,9604.6640625,53341300
2024-02-20,9850.0,10025.0,9850.0,10025.0,9750.5576171875,63997700
2024-02-21,9950.0,10000.0,9850.0,9975.0,9701.9267578125,75371600
2024-02-22,9975.0,9975.0,9875.0,9875.0,9604.6640625,66913000
2024-02-23,9900.0,9925.0,9800.0,9825.0,9556.0322265625,55192300
2024-02-26,9750.0,9875.0,9725.0,9800.0,9531.716796875,41356000
2024-02-27,9750.0,9900.0,9750.0,9875.0,9604.6640625,43735800
2024-02-28,9975.0,10000.0,9900.0,10000.0,9726.2421875,54043100
2024-02-29,10000.0,10000.0,9850.0,9875.0,9604.6640625,126671200
2024-03-01,9900.0,9925.0,9800.0,9825.0,9556.0322265625,51520600
2024-03-04,9800.0,9825.0,9750.0,9750.0,9483.0859375,43822900
2024-03-05,9900.0,9900.0,9775.0,9800.0,9531.716796875,61952900
2024-03-06,9900.0,10000.0,9775.0,9950.0,9677.611328125,70242200
2024-03-07,10050.0,10175.0,10000.0,10125.0,9847.8203125,118369300
2024-03-08,10250.0,10300.0,10125.0,10150.0,9872.1357421875,100947200
2024-03-13,10400.0,10400.0,10000.0,10000.0,9726.2421875,141622600
2024-03-14,10050.0,10325.0,10025.0,10325.0,10042.3447265625,110681100
2024-03-15,10200.0,10300.0,10050.0,10150.0,9872.1357421875,154176800
2024-03-18,10175.0,10275.0,10150.0,10150.0,9872.1357421875,62444100
2024-03-19,10150.0,10250.0,10150.0,10175.0,9896.4521484375,55004800
2024-03-20,10100.0,10150.0,10075.0,10125.0,9847.8203125,66269700
2024-03-21,10175.0,10225.0,10050.0,10125.0,9847.8203125,90279400
2024-03-22,10000.0,10125.0,9950.0,10100.0,9823.5048828125,91968200
2024-03-25,10075.0,10075.0,9925.0,10075.0,10025.0,66971000
2024-03-26,10050.0,10050.0,9950.0,10050.0,10000.1240234375,65742700
2024-03-27,10025.0,10075.0,10000.0,10075.0,10025.0,39514100
2024-03-28,10025.0,10100.0,9975.0,10075.0,10025.0,79229700
2024-04-01,10075.0,10100.0,9825.0,9850.0,9801.1162109375,79248700
2024-04-02,9925.0,9950.0,9800.0,9900.0,9850.8681640625,76763100
2024-04-03,9750.0,9800.0,9525.0,9525.0,9477.7294921875,177418400
2024-04-04,9575.0,9850.0,9575.0,9850.0,9801.1162109375,75993500
2024-04-05,9950.0,9950.0,9825.0,9825.0,9776.240234375,70428600
2024-04-16,9350.0,9575.0,9250.0,9475.0,9427.9775390625,283265900
2024-04-17,9550.0,9675.0,9525.0,9525.0,9477.7294921875,95620700
2024-04-18,9525.0,9575.0,9450.0,9475.0,9427.9775390625,127134000
2024-04-19,9350.0,9500.0,9300.0,9475.0,9427.9775390625,147784300
2024-04-22,9400.0,9425.0,9350.0,9350.0,9303.59765625,128908000
2024-04-23,9400.0,9775.0,9400.0,9725.0,9676.736328125,178833000
2024-04-24,9825.0,9950.0,9750.0,9950.0,9900.6201171875,132832700
2024-04-25,10000.0,10000.0,9700.0,9775.0,9726.48828125,104874100
2024-04-26,9700.0,9825.0,9625.0,9625.0,9577.2333984375,100932900
2024-04-29,9525.0,9850.0,9525.0,9800.0,9751.3642578125,90063500
2024-04-30,10050.0,10050.0,9800.0,9800.0,9751.3642578125,109623000
2024-05-02,9900.0,9900.0,9500.0,9550.0,9502.60546875,97079400
2024-05-03,9750.0,9850.0,9675.0,9850.0,9801.1162109375,81200400
2024-05-06,9850.0,9875.0,9775.0,9800.0,9751.3642578125,53076200
2024-05-07,9700.0,9750.0,9625.0,9700.0,9651.8603515625,66746800
2024-05-08,9600.0,9700.0,9375.0,9375.0,9328.4736328125,112808900
2024-05-13,9200.0,9525.0,9200.0,9525.0,9477.7294921875,145469900
2024-05-14,9625.0,9675.0,9525.0,9550.0,9502.60546875,95363500
2024-05-15,9500.0,9600.0,9425.0,9500.0,9452.853515625,54741900
2024-05-16,9575.0,9675.0,9525.0,9600.0,9552.357421875,61126000
2024-05-17,9600.0,9850.0,9575.0,9750.0,9701.6123046875,99848500
2024-05-20,9700.0,9800.0,9475.0,9475.0,9427.9775390625,87890100
2024-05-21,9450.0,9575.0,9375.0,9375.0,9328.4736328125,75311400
2024-05-22,9475.0,9575.0,9325.0,9425.0,9378.2255859375,121712700
2024-05-27,9300.0,9375.0,9275.0,9300.0,9253.845703125,128578500
2024-05-28,9300.0,9400.0,9300.0,9300.0,9253.845703125,73945700
2024-05-29,9275.0,9325.0,9150.0,9150.0,9104.5908203125,117351600
2024-05-30,9000.0,9250.0,8775.0,9000.0,8955.3349609375,207115100
2024-05-31,9100.0,9250.0,9025.0,9250.0,9204.09375,756431600
2024-06-03,9350.0,9350.0,9225.0,9275.0,9228.9697265625,72197700
2024-06-04,9525.0,9525.0,9350.0,9350.0,9303.59765625,75353100
2024-06-05,9500.0,9500.0,9300.0,9450.0,9403.1015625,82087300
2024-06-06,9525.0,9525.0,9450.0,9475.0,9427.9775390625,44991300
2024-06-07,9500.0,9500.0,9325.0,9325.0,9278.7216796875,51599800
2024-06-10,9500.0,9525.0,9450.0,9525.0,9477.7294921875,45584700
2024-06-11,9550.0,9550.0,9300.0,9300.0,9253.845703125,68690900
2024-06-12,9300.0,9325.0,9250.0,9250.0,9204.09375,49785700
2024-06-13,9475.0,9475.0,9200.0,9200.0,9154.341796875,84652200
2024-06-14,9200.0,9250.0,9100.0,9200.0,9154.341796875,52986300
2024-06-19,9250.0,9250.0,9050.0,9050.0,9005.0869140625,100051000
2024-06-20,9150.0,9425.0,9100.0,9425.0,9378.2255859375,81474800
2024-06-21,9475.0,9675.0,9400.0,9600.0,9552.357421875,166841200
2024-06-24,9600.0,9750.0,9575.0,9600.0,9552.357421875,79592300
2024-06-25,9600.0,9600.0,9450.0,9600.0,9552.357421875,80029000
2024-06-26,9525.0,9650.0,9450.0,9500.0,9452.853515625,77913200
2024-06-27,9575.0,9750.0,9550.0,9750.0,9701.6123046875,89150700
2024-06-28,9800.0,9975.0,9775.0,9925.0,9875.744140625,166172300
2024-07-01,9850.0,9900.0,9825.0,9875.0,9825.9921875,68634600
2024-07-02,10000.0,10000.0,9850.0,9900.0,9850.8681640625,78848500
2024-07-03,9975.0,10000.0,9925.0,10000.0,9950.3720703125,55860200
2024-07-04,9975.0,10000.0,9825.0,9825.0,9776.240234375,67054000
2024-07-05,9925.0,9975.0,9875.0,9950.0,9900.6201171875,36946900
2024-07-08,10000.0,10050.0,9950.0,10050.0,10000.1240234375,72903600
2024-07-09,10100.0,10150.0,10075.0,10075.0,10025.0,61853200
2024-07-10,10175.0,10225.0,10050.0,10100.0,10049.8759765625,62325900
2024-07-11,10000.0,10125.0,10000.0,10075.0,10025.0,55908400
2024-07-12,10050.0,10100.0,10025.0,10075.0,10025.0,62646500
2024-07-15,10050.0,10075.0,9950.0,10050.0,10000.1240234375,36682600
2024-07-16,9975.0,10025.0,9950.0,9950.0,9900.6201171875,37192700
2024-07-17,9900.0,9950.0,9800.0,9800.0,9751.3642578125,90666000
2024-07-18,9800.0,10100.0,9800.0,10100.0,10049.8759765625,65383200
2024-07-19,10050.0,10125.0,9975.0,10125.0,10074.751953125,53880300
2024-07-22,10125.0,10150.0,10100.0,10100.0,10049.8759765625,31285300
2024-07-23,10200.0,10200.0,10125.0,10175.0,10124.50390625,39321100
2024-07-24,10125.0,10175.0,10075.0,10075.0,10025.0,24658000
2024-07-25,10225.0,10300.0,10200.0,10300.0,10248.8828125,98088100
2024-07-26,10375.0,10400.0,10300.0,10325.0,10273.7587890625,75565800
2024-07-29,10400.0,10425.0,10175.0,10250.0,10199.130859375,69092500
2024-07-30,10300.0,10300.0,10175.0,10175.0,10124.50390625,32122900
2024-07-31,10350.0,10350.0,10225.0,10275.0,10224.0068359375,82519900
2024-08-01,10200.0,10375.0,10200.0,10375.0,10323.5107421875,61176200
2024-08-02,10275.0,10350.0,10200.0,10200.0,10149.3798828125,55699900
2024-08-05,10000.0,10150.0,9875.0,9875.0,9825.9921875,126328300
2024-08-06,10075.0,10075.0,9950.0,10000.0,9950.3720703125,78473900
2024-08-07,10000.0,10100.0,10000.0,10100.0,10049.8759765625,52327400
2024-08-08,10150.0,10225.0,10075.0,10225.0,10174.2548828125,54162100
2024-08-09,10225.0,10250.0,10100.0,10150.0,10099.6279296875,47062400
2024-08-12,10100.0,10200.0,10075.0,10200.0,10149.3798828125,40364100
2024-08-13,10250.0,10300.0,10175.0,10300.0,10248.8828125,55207100
2024-08-14,10300.0,10300.0,10200.0,10200.0,10149.3798828125,47999100
2024-08-15,10200.0,10300.0,10175.0,10225.0,10174.2548828125,33396600
2024-08-16,10300.0,10325.0,10250.0,10325.0,10273.7587890625,40731400
2024-08-19,10325.0,10425.0,10275.0,10375.0,10323.5107421875,51054400
2024-08-20,10325.0,10450.0,10300.0,10425.0,10373.2626953125,60304400
2024-08-21,10500.0,10500.0,10425.0,10425.0,10373.2626953125,84848800
2024-08-22,10350.0,10400.0,10225.0,10325.0,10273.7587890625,56611600
2024-08-23,10325.0,10375.0,10300.0,10325.0,10273.7587890625,46651600
2024-08-26,10275.0,10375.0,10250.0,10325.0,10273.7587890625,35145600
2024-08-27,10275.0,10300.0,10175.0,10200.0,10149.3798828125,60448400
2024-08-28,10300.0,10350.0,10250.0,10350.0,10298.634765625,38489900
2024-08-29,10500.0,10500.0,10225.0,10225.0,10174.2548828125,53004700
2024-08-30,10325.0,10325.0,10200.0,10325.0,10273.7587890625,158403700
2024-09-02,10375.0,10375.0,10200.0,10275.0,10224.0068359375,72008600
2024-09-03,10325.0,10325.0,10150.0,10175.0,10124.50390625,50950200
2024-09-04,10150.0,10300.0,10125.0,10300.0,10248.8828125,44817000
2024-09-05,10350.0,10350.0,10250.0,10250.0,10199.130859375,39332900
2024-09-06,10225.0,10300.0,10225.0,10300.0,10248.8828125,31541800
2024-09-09,10300.0,10350.0,10200.0,10275.0,10224.0068359375,36185100
2024-09-10,10350.0,10350.0,10275.0,10350.0,10298.634765625,55093100
2024-09-11,10425.0,10425.0,10350.0,10425.0,10373.2626953125,64621300
2024-09-12,10450.0,10500.0,10375.0,10475.0,10423.0146484375,70759100
2024-09-13,10400.0,10425.0,10325.0,10425.0,10373.2626953125,70057100
